Source Port,Target Port,Traveltime
Hefei,Nanchang,61.54130070315041
Nanchang,Hefei,39.02046893376374
Hefei,Huangshi,56.346495508345214
Huangshi,Hefei,36.708330205440035
Hefei,Huanggang,59.80969897154868
Huanggang,Hefei,38.2497560243225
Hefei,Wuhan,70.30753446938418
Wuhan,Hefei,42.92220303780998
Hefei,Jiayu,84.05212321397292
Jiayu,Hefei,49.039736756499764
Hefei,Honghu,88.92225308410279
Honghu,Hefei,51.207366814303235
Hefei,Chenglingji,94.98285914470885
Chenglingji,Hefei,53.90486199734755
Hefei,Changsha,106.11002677476665
Changsha,Hefei,78.90486199734755
Hefei,Jingzhou,114.05800365337937
Jingzhou,Hefei,96.76200485449041
Hefei,Yichang,122.10231964567224
Yichang,Hefei,114.83559792808347
Hefei,Chongqing,153.8942271601231
Chongqing,Hefei,186.26416935665492
Tongling,Chizhou,4.329004329004329
Chizhou,Tongling,1.926782273603083
Tongling,Anqing,10.606060606060606
Anqing,Tongling,4.720616570327554
Tongling,Jiujiang,27.164502164502164
Jiujiang,Tongling,12.090558766859345
Tongling,Nanchang,44.913419913419915
Nanchang,Tongling,19.990366088631987
Tongling,Huangshi,39.71861471861472
Huangshi,Tongling,17.678227360308288
Tongling,Huanggang,43.18181818181818
Huanggang,Tongling,19.219653179190754
Tongling,Wuhan,53.679653679653676
Wuhan,Tongling,23.892100192678228
Tongling,Jiayu,67.42424242424242
Jiayu,Tongling,30.009633911368017
Tongling,Honghu,72.2943722943723
Honghu,Tongling,32.177263969171484
Tongling,Chenglingji,78.35497835497836
Chenglingji,Tongling,34.8747591522158
Tongling,Changsha,89.48214598503617
Changsha,Tongling,59.8747591522158
Tongling,Jingzhou,97.43012286364888
Jingzhou,Tongling,77.73190200935866
Tongling,Yichang,105.47443885594174
Yichang,Tongling,95.80549508295172
Tongling,Chongqing,137.26634637039263
Chongqing,Tongling,167.23406651152317
Chizhou,Anqing,6.277056277056277
Anqing,Chizhou,2.7938342967244703
Chizhou,Jiujiang,22.835497835497833
Jiujiang,Chizhou,10.163776493256263
Chizhou,Nanchang,40.58441558441558
Nanchang,Chizhou,18.063583815028903
Chizhou,Huangshi,35.38961038961038
Huangshi,Chizhou,15.751445086705203
Chizhou,Huanggang,38.852813852813846
Huanggang,Chizhou,17.29287090558767
Chizhou,Wuhan,49.35064935064934
Wuhan,Chizhou,21.965317919075144
Chizhou,Jiayu,63.09523809523809
Jiayu,Chizhou,28.082851637764932
Chizhou,Honghu,67.96536796536796
Honghu,Chizhou,30.2504816955684
Chizhou,Chenglingji,74.02597402597402
Chenglingji,Chizhou,32.94797687861272
Chizhou,Changsha,85.15314165603183
Changsha,Chizhou,57.94797687861272
Chizhou,Jingzhou,93.10111853464454
Jingzhou,Chizhou,75.80511973575558
Chizhou,Yichang,101.14543452693741
Yichang,Chizhou,93.87871280934864
Chizhou,Chongqing,132.93734204138826
Chongqing,Chizhou,165.30728423792007
Anqing,Jiujiang,16.558441558441558
Jiujiang,Anqing,7.369942196531793
Anqing,Nanchang,34.307359307359306
Nanchang,Anqing,15.269749518304433
Anqing,Huangshi,29.11255411255411
Huangshi,Anqing,12.957610789980734
Anqing,Huanggang,32.57575757575758
Huanggang,Anqing,14.4990366088632
Anqing,Wuhan,43.073593073593074
Wuhan,Anqing,19.171483622350674
Anqing,Jiayu,56.81818181818182
Jiayu,Anqing,25.289017341040463
Anqing,Honghu,61.68831168831169
Honghu,Anqing,27.45664739884393
Anqing,Chenglingji,67.74891774891775
Chenglingji,Anqing,30.154142581888248
Anqing,Changsha,78.87608537897555
Changsha,Anqing,55.15414258188825
Anqing,Jingzhou,86.82406225758827
Jingzhou,Anqing,73.01128543903111
Anqing,Yichang,94.86837824988113
Yichang,Anqing,91.08487851262417
Anqing,Chongqing,126.660285764332
Chongqing,Anqing,162.5134499411956
Jiujiang,Nanchang,17.748917748917748
Nanchang,Jiujiang,7.899807321772641
Jiujiang,Huangshi,12.554112554112553
Huangshi,Jiujiang,5.5876685934489405
Jiujiang,Huanggang,16.017316017316016
Huanggang,Jiujiang,7.129094412331407
Jiujiang,Wuhan,26.515151515151516
Wuhan,Jiujiang,11.801541425818883
Jiujiang,Jiayu,40.25974025974026
Jiayu,Jiujiang,17.91907514450867
Jiujiang,Honghu,45.129870129870135
Honghu,Jiujiang,20.08670520231214
Jiujiang,Chenglingji,51.1904761904762
Chenglingji,Jiujiang,22.784200385356456
Jiujiang,Changsha,62.317643820534
Changsha,Jiujiang,47.784200385356456
Jiujiang,Jingzhou,70.26562069914672
Jingzhou,Jiujiang,65.64134324249932
Jiujiang,Yichang,78.30993669143959
Yichang,Jiujiang,83.71493631609238
Jiujiang,Chongqing,110.10184420589046
Chongqing,Jiujiang,155.14350774466382
Nanchang,Huangshi,20.453919875885195
Huangshi,Nanchang,23.336586342366687
Nanchang,Huanggang,23.917123339088658
Huanggang,Nanchang,24.878012161249153
Nanchang,Wuhan,34.41495883692416
Wuhan,Nanchang,29.55045917473663
Nanchang,Jiayu,48.1595475815129
Jiayu,Nanchang,35.667992893426415
Nanchang,Honghu,53.029677451642776
Honghu,Nanchang,37.83562295122989
Nanchang,Chenglingji,59.09028351224884
Chenglingji,Nanchang,40.533118134274204
Nanchang,Changsha,70.21745114230664
Changsha,Nanchang,65.5331181342742
Nanchang,Jingzhou,78.16542802091936
Jingzhou,Nanchang,83.39026099141707
Nanchang,Yichang,86.20974401321223
Yichang,Nanchang,101.46385406501012
Nanchang,Chongqing,118.0016515276631
Chongqing,Nanchang,172.89242549358158
Huangshi,Huanggang,3.463203463203463
Huanggang,Huangshi,1.5414258188824663
Huangshi,Wuhan,13.96103896103896
Wuhan,Huangshi,6.213872832369942
Huangshi,Jiayu,27.705627705627705
Jiayu,Huangshi,12.33140655105973
Huangshi,Honghu,32.57575757575758
Honghu,Huangshi,14.499036608863198
Huangshi,Chenglingji,38.63636363636364
Chenglingji,Huangshi,17.196531791907518
Huangshi,Changsha,49.763531266421445
Changsha,Huangshi,42.19653179190752
Huangshi,Jingzhou,57.71150814503416
Jingzhou,Huangshi,60.05367464905038
Huangshi,Yichang,65.75582413732702
Yichang,Huangshi,78.12726772264344
Huangshi,Chongqing,97.5477316517779
Chongqing,Huangshi,149.55583915121488
Huanggang,Wuhan,10.497835497835498
Wuhan,Huanggang,4.672447013487476
Huanggang,Jiayu,24.242424242424242
Jiayu,Huanggang,10.789980732177264
Huanggang,Honghu,29.11255411255411
Honghu,Huanggang,12.957610789980732
Huanggang,Chenglingji,35.17316017316017
Chenglingji,Huanggang,15.65510597302505
Huanggang,Changsha,46.300327803217975
Changsha,Huanggang,40.65510597302505
Huanggang,Jingzhou,54.24830468183069
Jingzhou,Huanggang,58.51224883016791
Huanggang,Yichang,62.29262067412356
Yichang,Huanggang,76.58584190376097
Huanggang,Chongqing,94.08452818857444
Chongqing,Huanggang,148.01441333233242
Wuhan,Jiayu,13.744588744588745
Jiayu,Wuhan,6.1175337186897885
Wuhan,Honghu,18.614718614718615
Honghu,Wuhan,8.285163776493256
Wuhan,Chenglingji,24.675324675324674
Chenglingji,Wuhan,10.982658959537574
Wuhan,Changsha,35.80249230538248
Changsha,Wuhan,35.982658959537574
Wuhan,Jingzhou,43.75046918399519
Jingzhou,Wuhan,53.839801816680435
Wuhan,Yichang,51.794785176288066
